"","Lat_05","Hel_15","Cro_15","SpB_10","Fra_05","Cru_05","Sto_05","Abr_10","StA_10","Stb_05","intercept"
"5020",0,-3.74188264314023,-2.94222405698607,-992.156976430017,-0.643962432324391,-1.44719677631976,-0.754102233412172,-4.46090639601629,-5.80612226429119,-2.07580928881548,-2.73317967082108
"5021",0,-5.00932952692386,-2.72348301279532,-1185.17654035227,-0.682685423446325,-1.53234148139485,-1.02169117520281,-4.63027923532094,-4.31893874033672,-2.18780098454253,-2.84985184673799
"5022",0,-4.84990496834916,-3.43047164779446,-246.880181415424,-0.375802611648815,-1.48930998695861,-0.818200482100951,-4.43141761143169,-4.65333601703946,-1.83736051425501,-2.83818074379698
"5023",0,-5.35505099855055,-3.67389455446064,-590.498594188144,-0.340771690227408,-1.31446798029476,-0.851584237777786,-3.00633860496569,-4.36379194405152,-1.92686274819818,-3.00339163067341
"5024",0,-5.85353199309928,-3.76870092307399,-267.807391379992,-0.236395474622365,-1.31253926044093,-0.942975665531617,-3.11717164601449,-4.12061947875034,-1.54815001764041,-2.99929815696331
"5025",0,-4.50831444537848,-4.10084461411047,-635.862499582341,-0.347327005298092,-1.40594793791866,-1.02221383984333,-4.11012596540809,-4.06630436843163,-2.47092372961988,-3.11216287164914
"5026",0,-3.38008729022518,-2.4410339331279,-1033.58244303753,-0.258338959088268,-1.0868203827819,-0.650693582227046,-2.79486127993073,-5.09261475623892,-0.95696461872887,-3.27454704173206
"5027",0,-4.73576100688762,-2.05071148115745,-877.585320633287,0.088043404127518,-0.99144073764562,-0.363603929756265,-3.61761605364352,-4.92444962836551,-0.909492746965532,-3.34905682834377
"5028",0,-4.62396967456241,-2.37322072411057,-195.277454844116,0.0971746043163659,-1.26224348998702,0.0513499018744691,-3.66599758581038,-3.11059364602306,-0.716356307270269,-3.30272543341913
"5029",0,-4.48838008792224,-3.56827797538944,-646.141128679009,0.0277775827808446,-1.14964540432144,0.089036244749871,-3.97231591593377,-5.85209423299137,-0.998359831968154,-3.35428539295362
"5030",0,-4.03662719004384,-4.01993868609156,-262.127839303792,0.0338455325090508,-0.951951170068255,-0.258127561586155,-4.03831766337253,-4.18306493110402,-1.33787530429781,-3.34395261815662
"5031",0,-5.6891829670221,-2.33773606636394,-1066.00757887967,0.117486577183032,-1.17395725265535,-0.281661063475882,-2.59240989183807,-5.65223155708327,-1.76193380830653,-3.38770910356628
"5032",0,-5.35579000622557,-2.56864808925692,-131.277779601426,0.087778375840238,-1.06054200113159,-0.213391383245359,-2.30080173319476,-5.03616032954431,-1.57877469054527,-3.37584330840339
"5033",0,-7.09161073226526,-3.0160615868589,-878.942399391727,0.0783368588827515,-0.992760772307056,-0.420806434570636,-2.11323580972714,-4.53593511622276,-2.19911870045618,-3.18246321615402
"5034",0,-6.89847962087526,-3.11201416752178,-1594.11564111422,-0.0596820828283565,-1.16731525299747,-0.55066061601653,-2.99044708510871,-4.61457660527082,-2.08573601110066,-3.15937290013993
