Longitude,Latitude,GravelD50,GravelPercent,MudPercent,OrbitalVelMax,OrbitalVelMean,Permeability,POC,Porosity,Rock10cm,Rock50cm,SandD50,SandPercent,SurfaceCarbon,SurfaceNitrogen,TidalVelMax,TidalVelMean,TN,TotalD50
1.4375,57.4375,4.556497097,0.334394932,1.136186242,0.208089337,0.020962304,1.95E-13,0.339056969,0.415213287,0,0,0.153978601,98.52941895,0.525431454,0.08120995,42.7588768,16.9808197,0.052404173,0.174601823
1.5625,57.4375,4.631147861,0.151461765,2.865180731,0.210526958,0.021235207,1.34E-13,0.330475688,0.421283394,0,0,0.153073892,96.98336029,0.506817222,0.079834923,41.02885437,16.50262642,0.052057233,0.161099717
1.6875,57.4375,4.951348782,5.012628078,2.519857407,0.21336484,0.021511681,1.59E-13,0.339929998,0.418430358,0,0,0.147406518,92.46751404,0.523886383,0.079922736,38.39038849,16.21114349,0.051858835,0.167138457
1.8125,57.4375,4.49124527,0.655970871,4.921330452,0.208677322,0.020672383,1.87E-13,0.356556088,0.415802866,0,0,0.150727227,94.42269897,0.551992476,0.082049318,38.25177765,15.64421272,0.052999243,0.173177198
1.9375,57.4375,4.543500423,0.157602534,4.314366341,0.222780764,0.022436906,2.29E-13,0.347899228,0.412755102,0,0,0.128243312,95.5280304,0.541400433,0.079264633,37.67940903,15.55688095,0.050934769,0.180845395
2.0625,57.4375,4.603739262,0.250536114,2.256556988,0.255352646,0.026958494,2.44E-13,0.251293629,0.411832929,0,0,0.223308489,97.49290466,0.391676992,0.062892869,36.81771851,15.42075539,0.040351048,0.183323443
2.1875,57.4375,4.586269379,0.073125482,2.16225028,0.257584542,0.026944738,1.73E-13,0.259352058,0.417080641,0,0,0.215217024,97.76462555,0.400630534,0.063891716,36.53493881,15.48614502,0.041360922,0.170179233
2.3125,57.4375,4.626237869,0.044501565,2.95277977,0.27449891,0.029205691,1.39E-13,0.266622335,0.420667142,0.0019,0.003333333,0.211846054,97.00271606,0.409327149,0.062956348,35.48472214,15.22329807,0.041007705,0.162361935
2.4375,57.4375,4.152770996,0.001681536,6.402395248,0.266875356,0.027656157,2.11E-13,0.286632955,0.413935274,0.00228,0.005566667,0.18909657,93.59592438,0.445161462,0.067514516,34.61622238,14.84667397,0.043471608,0.177784622
2.5625,57.4375,4.428489208,0,4.955369949,0.269132495,0.027647996,1.91E-13,0.275243461,0.415515095,6.20E-04,7.40E-04,0.203887627,95.04463196,0.426320493,0.065043487,34.13426208,15.04947186,0.041993748,0.173869193
2.6875,57.4375,4.605193138,0,2.519388437,0.32029748,0.035433959,2.18E-13,0.21492365,0.413506299,0.002653333,0.005573333,0.210372388,97.48061371,0.334036112,0.060931861,33.69550705,15.0476799,0.039204437,0.17888318
